"chemical","error","Stat_Pt","Jobs","imag","HF","Gibbs_Gas","Gibbs_Water","Gibbs_Oct","Enthalpy_Gas","Enthalpy_Water","Enthalpy_Oct","Etherm","Cv","S","qp","alpha_avg","quad_avg"
"poly_2_3_3_3_tetrafluoropropylene_1M",NA,"Yes",8,0,"-516.0944121","-516.051963","-516.051363","-516.056162","-516.012882","-516.012189","-516.016991",50.568,23.724,82.252,0.105241,33.5766666666667,-41.0340666666667
"poly_2_3_3_3_tetrafluoropropylene_2M",NA,"Yes",8,0,"-1030.9896983","-1030.903405","-1030.901655","-1030.909191","-1030.847180","-1030.845273","-1030.852769",88.839,48.577,118.334,0.126243,64.7534333333333,-77.1391333333333
"poly_2_3_3_3_tetrafluoropropylene_3M",NA,"Yes",8,0,"-1545.8780518","-1545.746245","-1545.746091","-1545.755422","-1545.674593","-1545.674216","-1545.683655",127.08,73.496,150.804,0.100937,96.4571333333333,-118.490166666667
"poly_3_cyclopentyl_1_propene_1M",NA,"Yes",8,0,"-314.4991821","-314.307714","-314.304690","-314.313655","-314.262225","-314.259089","-314.268165",148.1,33.706,95.739,0.043387,82.5957,-53.0815
"poly_3_cyclopentyl_1_propene_2M",NA,"Yes",8,0,"-627.7924678","-627.409029","-627.403576","-627.419593","-627.338594","-627.334049","-627.349964",284.217,67.871,148.242,0.063572,164.822,-104.745066666667
"poly_3_cyclopentyl_1_propene_3M","DNF","Yes",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"poly_3_methyl_1_butene_1M",NA,"Yes",8,0,"-197.7711306","-197.639907","-197.636346","-197.642929","-197.602088","-197.598565","-197.605133",105.484,24.885,79.597,0.086026,54.2886333333333,-34.9205666666667
"poly_3_methyl_1_butene_2M",NA,"Yes",8,0,"-394.3337574","-394.070267","-394.064838","-394.075591","-394.015567","-394.010319","-394.021165",199.075,50.149,115.127,0.078972,107.4457,-68.3613
"poly_3_methyl_1_butene_3M",NA,"Yes",8,0,"-590.8900579","-590.492392","-590.485851","-590.500116","-590.422427","-590.415738","-590.430001",292.851,75.474,147.253,0.094605,159.489333333333,-101.812433333333
"poly_4_cyclohexyl_1_butene_1M.",NA,"Yes",8,0,"-393.1316724","-392.883550","-392.880082","-392.890852","-392.834244","-392.830810","-392.841504",186.047,42.653,103.775,0.051433,103.721433333333,-66.5964
"poly_4_cyclohexyl_1_butene_2M",NA,"Yes",8,0,"-785.0560082","-784.557430","-784.552282","-784.571606","-784.481062","-784.476008","-784.494988",360.192,85.622,160.73,0.063587,207.040666666667,-131.528133333333
"poly_4_cyclohexyl_1_butene_3M","DNF","Yes",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"poly_ethyl_methacrylate_1M",NA,"Yes",8,0,"-386.3356332","-386.195055","-386.198969","-386.202728","-386.148520","-386.152302","-386.156317",116.823,34.318,97.941,0.083914,68.819,-50.2453
